ID,Priority,Augment_Name,Category,Rarity,Affected_Stats,Description,Sprite_path,WhoImplements,TargetTypes
101,1,Mind Control Helmet,Player,Legendary,NULL,Temporarily control weak enemies making them fight for you (limited duration),Resources/Sprites/Augments/101,Patryk,
102,1,Gravity Well Generators,Tower,Epic,{tower_gravity_manipulation: 1.0},Create gravity fields that slow or trap enemies in specific areas,Resources/Sprites/Augments/102,Kuba,
103,1,Temporal Distortion Field,Tower,Legendary,{tower_time_dilation: 0.50},Slow down time in tower's area of effect making enemies move at half speed,Resources/Sprites/Augments/103,Kuba,
104,1,Holographic Decoys,Tower,Rare,{tower_decoy_generation: 3},Generate 3 fake towers that distract enemies but deal no damage,Resources/Sprites/Augments/104,Kuba,
105,2,Critical Strike,Player,Epic,{player_crit_chance: 0.25},25% chance to deal double damage on player attacks,Resources/Sprites/Augments/105,Patryk,
106,2,Explosive Rounds,Player,Rare,{player_explosion_radius: 2.0},Player projectiles explode on impact dealing area damage,Resources/Sprites/Augments/106,Patryk,
107,2,Piercing Shot,Player,Common,{player_pierce_count: 2},Player attacks penetrate through 2 additional enemies,Resources/Sprites/Augments/107,Patryk,
108,2,Charged Attacks,Player,Rare,{player_charge_damage: 2.0},Hold attack to charge for 200% damage but slower rate,Resources/Sprites/Augments/108,Patryk,
109,2,Mana Burn,Player,Rare,NULL,Player attacks drain enemy special abilities/shields,Resources/Sprites/Augments/109,Patryk,
110,2,Shield Generator,Player,Epic,{player_shield_hits: 3},Absorbs next 3 hits regenerates after 10 seconds without damage,Resources/Sprites/Augments/110,Patryk,
111,2,Dodge Master,Player,Rare,"{player_dodge_chance: 0.25, player_movement_speed_after_dodge: 0.15}",+25% dodge chance +15% movement speed after dodging,Resources/Sprites/Augments/111,Patryk,
112,2,Phase Walk,Player,Legendary,NULL,Can walk through enemies and walls for 3 seconds (20s cooldown),Resources/Sprites/Augments/112,Patryk,
113,2,Time Dilation,Player,Legendary,NULL,Slow down time by 50% for 5 seconds when health drops below 25%,Resources/Sprites/Augments/113,Patryk,
114,2,Chain Lightning,Tower,Epic,{tower_chain_targets: 3},Tower attacks jump to 3 nearby enemies with decreasing damage,Resources/Sprites/Augments/114,Kuba,
115,2,Armor Penetration,Tower,Rare,{tower_armor_penetration: 0.5},Tower attacks ignore 50% of enemy armor,Resources/Sprites/Augments/115,Kuba,
116,2,Homing Missiles,Tower,Epic,{tower_accuracy: 1.0},Tower projectiles track enemies with 100% accuracy,Resources/Sprites/Augments/116,Kuba,
117,2,Smart Targeting,Tower,Rare,NULL,Towers prioritize strongest enemies first,Resources/Sprites/Augments/117,Kuba,
118,2,Multi-Target,Tower,Epic,{tower_simultaneous_targets: 2},Towers can attack 2 enemies simultaneously,Resources/Sprites/Augments/118,Kuba,
119,2,Radar Enhancement,Tower,Common,NULL,Towers can target invisible/stealth enemies,Resources/Sprites/Augments/119,Kuba,
120,2,Predictive Targeting,Tower,Rare,{tower_accuracy: 0.3},Towers lead moving targets perfectly,Resources/Sprites/Augments/120,Kuba,
121,2,Shared Vision,Tower,Common,{tower_detection_radius: 0.4},Towers extend detection radius for nearby towers,Resources/Sprites/Augments/121,Kuba,
122,2,Repair Drones,Tower,Legendary,NULL,Damaged towers automatically repair to full health,Resources/Sprites/Augments/122,Kuba,
123,2,Upgrade Discount,Tower,Rare,{tower_upgrade_cost: -0.25},All tower upgrades cost 25% less resources,Resources/Sprites/Augments/123,Kuba,
124,2,Solar Panels,Energy,Common,{energy_generation_day: 0.25},+25% energy generation during day cycles,Resources/Sprites/Augments/124,Kuba,
125,2,Nuclear Core,Energy,Legendary,{energy_generation: 2.0},Massive energy boost but risk of explosion if destroyed,Resources/Sprites/Augments/125,Kuba,
126,2,Wind Turbines,Energy,Rare,NULL,Energy generation increases with number of moving enemies nearby,Resources/Sprites/Augments/126,Kuba,
127,2,Geothermal,Energy,Epic,{energy_generation_stability: 1.0},Consistent energy generation unaffected by external factors,Resources/Sprites/Augments/127,Kuba,
128,2,Energy Storage,Energy,Common,{energy_capacity: 0.5},Maximum energy capacity increased by 50%,Resources/Sprites/Augments/128,Kuba,
129,2,Efficient Conversion,Energy,Rare,{energy_waste_reduction: 0.3},Reduce energy waste by 30%,Resources/Sprites/Augments/129,Kuba,
130,2,Backup Generator,Energy,Rare,NULL,Emergency energy generation when main generators are destroyed,Resources/Sprites/Augments/130,Kuba,
131,2,Power Grid,Energy,Epic,{energy_transmission_range: 0.5},Energy generators share power across longer distances,Resources/Sprites/Augments/131,Kuba,
132,2,Wireless Power,Energy,Rare,NULL,Eliminate need for power lines/connections,Resources/Sprites/Augments/132,Kuba,
133,2,Energy Amplifiers,Energy,Common,{energy_generator_boost: 0.15},Nearby generators boost each other's output by 15%,Resources/Sprites/Augments/133,Kuba,
134,2,Smart Distribution,Energy,Rare,NULL,Automatically prioritize energy to most needed towers,Resources/Sprites/Augments/134,Kuba,
135,2,Elite Spawns,Enemy,Epic,"{enemy_health: 1.0, enemy_damage: 1.0, elite_spawn_chance: 0.1}",10% of enemies spawn with double health and damage,Resources/Sprites/Augments/135,Patryk,
136,2,Swarm Mode,Enemy,Rare,"{enemy_spawn_count: 0.5, enemy_health: -0.3}",Enemies spawn in larger groups but with less health,Resources/Sprites/Augments/136,Patryk,
137,2,Boss Rush,Enemy,Legendary,{boss_spawn_frequency: 0.5},Boss enemies spawn more frequently,Resources/Sprites/Augments/137,Patryk,
138,2,Invisible Stalkers,Enemy,Epic,{enemy_invisible_chance: 0.15},15% of enemies are invisible to most towers,Resources/Sprites/Augments/138,Patryk,
139,2,Speed Demons,Enemy,Rare,"{enemy_movement_speed: 0.5, fast_enemy_chance: 0.25}",25% of enemies move 50% faster,Resources/Sprites/Augments/139,Patryk,
140,2,Tank Division,Enemy,Epic,"{enemy_health: 2.0, enemy_movement_speed: -0.3, tank_enemy_chance: 0.2}",20% of enemies have triple health but move slower,Resources/Sprites/Augments/140,Patryk,
141,2,Regenerative,Enemy,Rare,{enemy_health_regen: 0.02},Enemies slowly heal when not taking damage,Resources/Sprites/Augments/141,Patryk,
142,2,Explosive Death,Enemy,Epic,{enemy_death_explosion_damage: 0.3},Enemies explode on death damaging nearby towers,Resources/Sprites/Augments/142,Patryk,
143,2,Shield Bearers,Enemy,Rare,{enemy_shield_chance: 0.3},Some enemies spawn with energy shields,Resources/Sprites/Augments/143,Patryk,
144,2,Spell Immunity,Enemy,Epic,{enemy_elemental_immunity_chance: 0.2},Certain enemies immune to elemental effects,Resources/Sprites/Augments/144,Patryk,
145,2,Adaptive Armor,Enemy,Legendary,NULL,Enemies become resistant to damage types that hit them,Resources/Sprites/Augments/145,Patryk,
146,2,Fog of War,Map,Epic,{vision_range: -0.4},Reduced vision range enemies can hide,Resources/Sprites/Augments/146,Patryk,
147,2,High Ground,Map,Common,{elevated_tower_range_bonus: 0.2},Towers on elevated positions gain +20% range,Resources/Sprites/Augments/147,Patryk,
148,2,Narrow Passages,Map,Rare,NULL,Choke points slow enemies but limit tower placement,Resources/Sprites/Augments/148,Patryk,
149,2,Dynamic Weather,Map,Epic,NULL,Weather effects modify tower and enemy performance,Resources/Sprites/Augments/149,Patryk,
150,2,Teleport Gates,Map,Legendary,NULL,Enemies can use portals to skip sections of the path,Resources/Sprites/Augments/150,Patryk,
151,2,Quicksand Traps,Map,Rare,{random_slow_zones: 0.4},Random areas slow enemy movement,Resources/Sprites/Augments/151,Patryk,
152,2,Lava Flows,Map,Epic,NULL,Environmental damage zones that affect both enemies and towers,Resources/Sprites/Augments/152,Patryk,
153,2,Day/Night Cycle,Map,Common,NULL,Different towers perform better at different times,Resources/Sprites/Augments/153,Patryk,
154,2,Seasonal Changes,Map,Rare,NULL,Map conditions change every few waves,Resources/Sprites/Augments/154,Patryk,
155,2,Radiation Fields,Map,Epic,NULL,Areas that boost certain tower types but harm others,Resources/Sprites/Augments/155,Patryk,
156,2,Magnetic Storms,Map,Rare,NULL,Interfere with electronic towers but boost energy generation,Resources/Sprites/Augments/156,Patryk,
157,2,Ancient Ruins,Map,Legendary,NULL,Provide powerful bonuses but attract stronger enemies,Resources/Sprites/Augments/157,Patryk,
158,2,Black Market,Map,Rare,NULL,Special vendor appears with unique upgrades,Resources/Sprites/Augments/158,Patryk,
159,2,Energy Vampire,Synergy,Epic,NULL,Player abilities consume energy but deal massive damage,Resources/Sprites/Augments/159,Patryk,
160,2,Adaptive Systems,Synergy,Legendary,NULL,All systems become more efficient as enemies get stronger,Resources/Sprites/Augments/160,Patryk,
161,2,Combo Master,Stack,Epic,NULL,Chaining different abilities provides exponential bonuses,Resources/Sprites/Augments/161,Patryk,
162,2,Perfect Harmony,Stack,Legendary,NULL,Having different augment types provides multiplicative bonuses,Resources/Sprites/Augments/162,Patryk,
163,2,Time Rewind,Special,Legendary,NULL,Can revert to previous wave once per game,Resources/Sprites/Augments/163,Patryk,
164,2,Duplicate,Special,Epic,NULL,Can have two of the same tower type in one location,Resources/Sprites/Augments/164,Patryk,
165,2,Tower Evolution,Special,Legendary,NULL,Towers automatically upgrade after killing enough enemies,Resources/Sprites/Augments/165,Patryk,
166,2,Chaos Mode,Special,Epic,NULL,Random effects occur every 30 seconds,Resources/Sprites/Augments/166,Patryk,
167,2,Reduced reload time,Player,Rare,{player_reload_speed: 0.30},Decreases weapon reload time by 30%,Resources/Sprites/Augments/167,Patryk,
168,2,Extra ammunition,Player,Rare,{player_ammo_capacity: 0.50},Increases ammunition capacity by 50%,Resources/Sprites/Augments/168,Patryk,
169,2,Improved accuracy,Player,Common,{player_accuracy: 0.25},Increases player shooting accuracy by 25%,Resources/Sprites/Augments/169,Patryk,
170,2,Sprint ability,Player,Rare,NULL,Unlocks sprint ability for faster movement,Resources/Sprites/Augments/170,Patryk,
171,2,Weapon upgrade discount,Player,Common,{player_weapon_upgrade_cost: -0.20},Weapon upgrades cost 20% less resources,Resources/Sprites/Augments/171,Patryk,
172,2,Double XP gain,Player,Epic,{player_experience_multiplier: 2.0},Gain double experience from all sources,Resources/Sprites/Augments/172,Patryk,
173,2,Melee counter-attack,Player,Epic,{player_melee_counter_damage: 1.5},Deal 150% damage when enemies attack you in melee range,Resources/Sprites/Augments/173,Patryk,
174,2,Multi-level towers,Tower,Legendary,NULL,Allows towers to be built on multiple height levels,Resources/Sprites/Augments/174,Kuba,
175,2,Tower maintenance reduction,Tower,Common,{tower_maintenance_cost: -0.50},Reduces ongoing tower maintenance costs by 50%,Resources/Sprites/Augments/175,Kuba,
176,2,Automated targeting,Tower,Rare,NULL,Towers automatically switch between optimal targeting modes,Resources/Sprites/Augments/176,Kuba,
177,2,Tower overwatch,Tower,Epic,{tower_detection_range: 0.60},Towers can detect enemies 60% further away,Resources/Sprites/Augments/177,Kuba,
178,2,Modular tower upgrades,Tower,Rare,NULL,Allows mixing different tower upgrade paths,Resources/Sprites/Augments/178,Kuba,
179,2,Energy efficiency,Energy,Common,{energy_loss_reduction: 0.25},Reduces energy transmission losses by 25%,Resources/Sprites/Augments/179,Kuba,
180,2,Faster energy recharge,Energy,Rare,{energy_recharge_speed: 0.45},Energy systems recharge 45% faster,Resources/Sprites/Augments/180,Kuba,
181,2,Emergency power,Energy,Epic,NULL,Provides backup power when main generators are damaged,Resources/Sprites/Augments/181,Kuba,
182,2,Portable generators,Energy,Rare,NULL,Unlocks ability to place temporary energy generators,Resources/Sprites/Augments/182,Kuba,
183,2,Energy sharing network,Energy,Epic,{energy_sharing_efficiency: 0.80},Improves energy distribution efficiency by 80%,Resources/Sprites/Augments/183,Kuba,
184,2,Energy storage upgrade,Energy,Common,{max_energy_storage: 0.60},Increases maximum energy storage capacity by 60%,Resources/Sprites/Augments/184,Kuba,
185,2,Renewable energy,Energy,Epic,{renewable_energy_percentage: 0.40},40% of energy comes from renewable sources (weather independent),Resources/Sprites/Augments/185,Kuba,
186,2,Energy recycling,Energy,Rare,{energy_waste_recovery: 0.35},Recovers 35% of wasted energy back into the grid,Resources/Sprites/Augments/186,Kuba,
187,2,Power surge protection,Energy,Common,NULL,Protects systems from energy fluctuations and surges,Resources/Sprites/Augments/187,Kuba,
188,2,Compact generators,Energy,Rare,{generator_space_requirement: -0.30},Energy generators require 30% less space,Resources/Sprites/Augments/188,Kuba,
189,2,Grid redundancy,Energy,Epic,NULL,Energy grid continues functioning even if multiple generators fail,Resources/Sprites/Augments/189,Kuba,
