ID,Priority,Augment_Name,Category,Rarity,Affected_Stats,Description
46,0,Tower targeting priority,Tower,Common,NULL,Towers automatically target closest enemies first
47,0,Reinforced towers,Tower,Rare,{tower_armor: 0.25},Towers take 25% less damage from enemy attacks
48,0,Tower energy efficiency,Tower,Epic,{tower_energy_consumption: -0.30},Towers consume 30% less energy
49,0,Basic energy boost,Energy,Common,{energy_generation_rate: 0.30},Increases base energy generation by 30%
50,0,Energy cost reduction,Energy,Rare,{all_energy_costs: -0.20},All energy-consuming actions cost 20% less
51,0,Overclocked generators,Energy,Epic,"{energy_generation_rate: 0.70, generator_wear_rate: 0.50}",Generators produce 70% more energy but wear out 50% faster
52,2,Smart energy management,Energy,Rare,NULL,Automatically optimizes energy distribution to most critical systems
53,0,Enemy slowdown,Enemy,Common,{enemy_movement_speed: -0.15},All enemies move 15% slower
54,0,Weaker enemy spawns,Enemy,Rare,{enemy_damage: -0.20},All enemies deal 20% less damage
55,0,Reduced enemy health,Enemy,Common,{enemy_max_health: -0.25},All enemies have 25% less maximum health
56,0,Delayed enemy waves,Enemy,Rare,{wave_spawn_delay: 5},Each wave starts 5 seconds later
57,0,Enemy supply shortage,Enemy,Common,{enemy_spawn_count: -0.10},10% fewer enemies spawn per wave
58,0,Resource deposits,Map,Common,{map_resource_nodes: 3},Adds 3 additional resource collection points to the map
59,0,Favorable terrain,Map,Rare,{tower_placement_options: +1},Additional outer ring for tower placement
60,0,Tower synergy boost,Synergy,Rare,{adjacent_tower_bonus: 0.15},Towers get 15% damage bonus when built near each other
61,0,Player tower coordination,Synergy,Epic,{player_near_tower_bonus: 0.25},Player and nearby towers both get 25% effectiveness boost
62,0,Energy tower efficiency,Synergy,Common,{tower_near_generator_bonus: 0.20},Towers near energy generators consume 20% less power
63,0,Starting resource boost,Economy,Common,{starting_resources: 0.50},Begin next wave with 50% more starting resources
64,0,Cost reduction,Economy,Rare,{all_purchase_costs: -0.15},All purchases cost 15% less
65,0,Auto-collect resources,Utility,Rare,NULL,Automatically collects nearby resources without manual interaction
66,0,Unlocked grappling hook,Player,Rare,NULL,Unlocked grappling hook weapon
67,0,Unlocked ranged weapon,Player,Rare,NULL,Unlocked ranged weapon
68,0,Adrenaline Rush,Player,Rare,"{player_attack_speed: 0.80, player_movement_speed: 0.60}",When health drops below 30% gain massive speed and attack rate for 15 seconds
69,0,Berserker Mode,Player,Epic,"{player_damage_per_missing_health: 0.02, player_defense: -0.25}",Gain 2% damage for every 1% health missing but lose 25% defense
70,0,Combat Medic,Player,Epic,{player_healing_others_bonus: 2.0},Player can heal damaged towers and allied units at double efficiency
71,0,Scrap Collector,Player,Common,{scrap_metal_collection: 0.40},Collect 40% more scrap materials from destroyed enemies and structures
72,0,Energy Vampire Touch,Player,Epic,{player_energy_drain_on_hit: 10},Drain 10 energy from enemies on successful melee attacks
73,0,Energy Scavenging,Energy,Rare,{energy_from_destroyed_enemies: 5},Gain 5 energy units for each enemy destroyed near generators
74,0,Core Shield Matrix,Central Core,Epic,{core_shield_strength: 500},Provide energy-based shield with 500 hit points protecting the core
75,0,Core Repair Systems,Central Core,Rare,{core_self_repair_rate: 0.05},Core slowly repairs damage at 5% per minute when not under attack
76,0,Core Energy Siphon,Central Core,Rare,{core_energy_from_attacks: 0.20},Core gains energy from enemy attacks converting 20% of damage to power
77,0,Pheromone Control,Player,Epic,{player_enemy_confusion_aura: 0.25},Nearby enemies have 25% chance to ignore you or attack each other
78,0,Grappling Hook Damage,Player,"Rare, Epic, Legendary",{player_attack: 15},Grappling Hook deals damage when shot at the enemy
79,0,Increased Shield Defenses,Player,"Rare, Epic, Legendary",{player_damage: -0.15},Reduce incoming damage to the Player by 15%
